Movie Name,Released Date,Genre,MPAA Rating,Year Gross,Tickets Sold
Scream 3,"Feb 4, 2000",Horror,R,"$89,138,076","16,537,676"
U-571,"Apr 21, 2000",Action,PG-13,"$77,086,030","14,301,675"
Hollow Man,"Aug 4, 2000",Horror,R,"$73,209,340","13,582,437"
The Kid,"Jul 7, 2000",Comedy,PG,"$69,688,384","12,929,199"
Road Trip,"May 19, 2000",Comedy,R,"$68,525,609","12,713,471"
Bring it On,"Aug 25, 2000",Comedy,PG-13,"$68,353,550","12,681,549"
The Cell,"Aug 18, 2000",Thriller/Suspense,R,"$61,280,963","11,369,380"
Mission to Mars,"Mar 10, 2000",Adventure,PG,"$60,874,615","11,293,991"
Snow Day,"Feb 11, 2000",Comedy,PG,"$60,008,303","11,133,265"
American Beauty,"Sep 15, 1999",Drama,R,"$59,040,232","10,953,660"
The Whole Nine Yards,"Feb 18, 2000",Comedy,R,"$57,262,492","10,623,838"
Next Friday,"Jan 12, 2000",Comedy,R,"$57,176,582","10,607,900"
Shanghai Noon,"May 26, 2000",Western,PG-13,"$56,932,305","10,562,579"
Romeo Must Die,"Mar 22, 2000",Action,R,"$55,973,336","10,384,663"
Final Destination,"Mar 17, 2000",Horror,R,"$53,302,314","9,889,112"
Vertical Limit,"Dec 8, 2000",Thriller/Suspense,PG-13,"$51,880,114","9,625,253"
The Emperor's New Groove,"Dec 15, 2000",Adventure,G,"$50,812,284","9,427,139"
The Road to El Dorado,"Mar 31, 2000",Adventure,PG,"$50,802,661","9,425,354"
Miss Congeniality,"Dec 22, 2000",Comedy,PG-13,"$46,382,671","8,605,319"
Frequency,"Apr 28, 2000",Thriller/Suspense,PG-13,"$44,983,704","8,345,770"
The Replacements,"Aug 11, 2000",Comedy,PG-13,"$44,737,059","8,300,010"
Galaxy Quest,"Dec 24, 1999",Comedy,PG,"$44,111,808","8,184,008"
The Family Man,"Dec 22, 2000",Comedy,PG-13,"$43,144,380","8,004,523"
Pitch Black,"Feb 18, 2000",Horror,R,"$39,235,088","7,279,237"
Little Nicky,"Nov 10, 2000",Comedy,PG-13,"$38,848,624","7,207,536"
Autumn in New York,"Aug 11, 2000",Drama,PG-13,"$37,752,931","7,004,254"
Keeping the Faith,"Apr 14, 2000",Romantic Comedy,PG-13,"$37,036,404","6,871,317"
28 Days,"Apr 14, 2000",Comedy,PG-13,"$37,035,515","6,871,153"
Toy Story 2,"Nov 19, 1999",Adventure,G,"$36,972,140","6,859,395"
Bounce,"Nov 17, 2000",Drama,PG-13,"$36,675,505","6,804,360"
Hanging Up,"Feb 18, 2000",Comedy,PG-13,"$36,037,909","6,686,068"
"Dude, Where's My Car?","Dec 15, 2000",Comedy,PG-13,"$35,631,910","6,610,743"
The Skulls,"Mar 31, 2000",Thriller/Suspense,PG-13,"$35,007,180","6,494,838"
The 6th Day,"Nov 17, 2000",Action,PG-13,"$34,317,634","6,366,907"
My Dog Skip,"Jan 12, 2000",Drama,PG,"$34,099,640","6,326,463"
Return to Me,"Apr 7, 2000",Romantic Comedy,PG,"$32,662,299","6,059,795"
Almost Famous,"Sep 15, 2000",Comedy,R,"$31,939,009","5,925,604"
The Art of War,"Aug 25, 2000",Thriller/Suspense,R,"$30,199,105","5,602,802"
Any Given Sunday,"Dec 22, 1999",Drama,R,"$29,778,713","5,524,807"
The Watcher,"Sep 8, 2000",Thriller/Suspense,R,"$28,946,615","5,370,429"
Love & Basketball,"Apr 21, 2000",Drama,PG-13,"$27,441,122","5,091,117"
Book of Shadows: Blair Witch 2,"Oct 27, 2000",Horror,R,"$26,421,314","4,901,913"
Nurse Betty,"Sep 8, 2000",Black Comedy,R,"$25,170,054","4,669,768"
Reindeer Games,"Feb 25, 2000",Action,R,"$23,360,779","4,334,096"
Titan A.E.,"Jun 16, 2000",Adventure,PG,"$22,751,979","4,221,146"
Boys and Girls,"Jun 16, 2000",Romantic Comedy,PG-13,"$21,799,652","4,044,462"
Magnolia,"Dec 17, 1999",Drama,R,"$21,686,030","4,023,382"
Dracula 2000,"Dec 22, 2000",Horror,R,"$21,569,567","4,001,774"
Urban Legends: Final Cut,"Sep 22, 2000",Horror,R,"$21,468,807","3,983,081"
Down to You,"Jan 21, 2000",Romantic Comedy,PG-13,"$20,035,310","3,717,126"
Deuce Bigalow: Male Gigolo,"Dec 10, 1999",Comedy,R,"$19,181,507","3,558,721"
The Ninth Gate,"Mar 10, 2000",Thriller/Suspense,R,"$18,653,746","3,460,806"
The Contender,"Oct 13, 2000",Thriller/Suspense,R,"$17,804,273","3,303,204"
Small Time Crooks,"May 19, 2000",Comedy,PG,"$17,266,359","3,203,406"
Red Planet,"Nov 10, 2000",Action,PG-13,"$17,265,409","3,203,229"
Center Stage,"May 12, 2000",Drama,PG-13,"$17,200,925","3,191,266"
Best in Show,"Sep 27, 2000",Comedy,PG-13,"$17,179,643","3,187,317"
The Sixth Sense,"Aug 6, 1999",Thriller/Suspense,PG-13,"$17,119,797","3,176,214"
Billy Elliot,"Oct 13, 2000",Drama,R,"$17,095,205","3,171,652"
Boiler Room,"Feb 18, 2000",Drama,R,"$16,963,963","3,147,302"
Lost Souls,"Oct 13, 2000",Horror,R,"$16,779,636","3,113,105"
Eye of the Beholder,"Jan 28, 2000",Thriller/Suspense,R,"$16,500,786","3,061,370"
Loser,"Jul 21, 2000",Romantic Comedy,R,"$15,464,026","2,869,021"
Drowning Mona,"Mar 3, 2000",Comedy,PG-13,"$15,427,192","2,862,187"
Bait,"Sep 15, 2000",Action,R,"$15,325,127","2,843,251"
The Next Best Thing,"Mar 3, 2000",Drama,PG-13,"$14,983,572","2,779,883"
Supernova,"Jan 14, 2000",Thriller/Suspense,PG-13,"$14,218,868","2,638,008"
Dr. T and the Women,"Oct 13, 2000",Romantic Comedy,R,"$13,065,561","2,424,037"
The Crew,"Aug 25, 2000",Comedy,PG-13,"$13,019,253","2,415,445"
Highlander: Endgame,"Sep 1, 2000",Action,R,"$12,801,190","2,374,988"
Ready to Rumble,"Apr 7, 2000",Comedy,PG-13,"$12,372,410","2,295,437"
Saving Grace,"Aug 4, 2000",Comedy,R,"$12,178,602","2,259,480"
The Legend of Drunken Master,"Oct 20, 2000",Action,R,"$11,546,543","2,142,215"
Here on Earth,"Mar 24, 2000",Drama,PG-13,"$10,494,147","1,946,966"
Lucky Numbers,"Oct 27, 2000",Black Comedy,R,"$10,014,234","1,857,928"
3 Strikes,"Mar 1, 2000",Comedy,R,"$9,821,335","1,822,140"
Cirque du Soleil - Journey …,"May 5, 2000",Musical,G,"$8,533,892","1,583,282"
Play it to the Bone,"Dec 24, 1999",Comedy,R,"$8,423,838","1,562,864"
T-Rex: Back to the Cretaceous,"Oct 23, 1998",Adventure,Not Rated,"$8,214,699","1,524,062"
Galapagos,"Oct 29, 1999",Documentary,Not Rated,"$7,763,963","1,440,438"
Screwed,"May 12, 2000",Comedy,PG-13,"$6,982,680","1,295,487"
What Planet Are You From?,"Mar 3, 2000",Comedy,R,"$6,291,602","1,167,273"
Croupier,"Apr 21, 2000",Drama,Not Rated,"$6,201,143","1,150,490"
Todo sobre mi madre,"Nov 5, 1999",Drama,R,"$6,131,119","1,137,498"
The Way of the Gun,"Sep 8, 2000",Action,R,"$6,047,856","1,122,051"
Where the Money Is,"Apr 14, 2000",Comedy,PG-13,"$5,658,940","1,049,896"
Finding Forrester,"Dec 19, 2000",Drama,PG-13,"$5,301,731","983,623"
Black and White,"Apr 5, 2000",Drama,R,"$5,241,315","972,414"
The In Crowd,"Jul 19, 2000",Thriller/Suspense,PG-13,"$5,217,498","967,995"
Gossip,"Apr 21, 2000",Thriller/Suspense,R,"$5,108,820","947,833"
Woman on Top,"Sep 22, 2000",Romantic Comedy,R,"$5,018,450","931,066"
Sunshine,"Dec 17, 1999",Drama,R,"$4,969,834","922,047"
Duets,"Sep 15, 2000",Drama,R,"$4,734,235","878,336"
Held Up,"May 12, 2000",Comedy,PG-13,"$4,714,090","874,599"
Being John Malkovich,"Oct 29, 1999",Black Comedy,R,"$4,614,957","856,207"
The Tao of Steve,"Aug 4, 2000",Romantic Comedy,R,"$4,342,203","805,603"
Dancer in the Dark,"Sep 22, 2000",Musical,R,"$4,157,491","771,334"
Whipped,"Sep 1, 2000",Romantic Comedy,R,"$4,142,507","768,554"
You Can Count on Me,"Nov 10, 2000",Drama,R,"$3,815,524","707,889"
End of Days,"Nov 24, 1999",Action,R,"$3,704,043","687,206"
Cyberworld 3D,"Oct 6, 2000",Adventure,Not Rated,"$3,640,193","675,360"
Price of Glory,"Mar 31, 2000",Drama,PG-13,"$3,434,515","637,201"
Ghost Dog: The Way of the S…,"Mar 3, 2000",Drama,R,"$3,330,230","617,853"
Sweet and Lowdown,"Dec 3, 1999",Romantic Comedy,PG-13,"$3,329,098","617,643"
Alien Adventure,"Apr 14, 2000",Comedy,Not Rated,"$3,272,750","607,189"
Beautiful,"Sep 29, 2000",Drama,PG-13,"$3,134,509","581,541"
Double Jeopardy,"Sep 24, 1999",Action,R,"$2,703,114","501,505"
God's Army,"Mar 10, 2000",Drama,PG,"$2,637,726","489,374"
East-West,"Apr 7, 2000",Drama,PG-13,"$2,319,726","430,375"
But I'm a Cheerleader,"Jul 7, 2000",Comedy,R,"$2,205,627","409,207"
Bamboozled,"Oct 6, 2000",Drama,R,"$2,185,266","405,429"
Cradle Will Rock,"Dec 8, 1999",Drama,R,"$2,128,918","394,975"
La lengua de las mariposas,"Jun 16, 2000",Drama,R,"$2,086,098","387,031"
The Color of Paradise,"Mar 31, 2000",Drama,PG,"$1,810,145","335,833"
La Vie Après L'Amour,"Jul 7, 2000",Comedy,Not Rated,"$1,795,758","333,164"
The Broken Hearts Club: A R…,"Sep 29, 2000",Comedy,R,"$1,719,458","319,008"
Girl on the Bridge,"Jul 28, 2000",Romantic Comedy,R,"$1,713,995","317,995"
Holy Smoke,"Dec 3, 1999",Drama,R,"$1,693,452","314,184"
Blood Simple,"Jan 18, 1985",Thriller/Suspense,R,"$1,690,913","313,712"
Dogma,"Nov 12, 1999",Comedy,R,"$1,668,162","309,492"
Gun Shy,"Feb 4, 2000",Comedy,R,"$1,638,202","303,933"
State and Main,"Dec 22, 2000",Comedy,R,"$1,542,365","286,153"
Girlfight,"Sep 29, 2000",Drama,R,"$1,523,941","282,734"
Liberty Heights,"Nov 17, 1999",Drama,R,"$1,445,744","268,227"
Three Kings,"Oct 1, 1999",Black Comedy,R,"$1,428,932","265,107"
Cecil B. Demented,"Aug 11, 2000",Black Comedy,R,"$1,276,984","236,917"
MVP: Most Valuable Primate,"Aug 11, 2000",Adventure,PG,"$1,248,746","231,678"
Turn It Up,"Sep 6, 2000",Drama,R,"$1,244,676","230,923"
Trois,"Feb 11, 2000",Thriller/Suspense,NC-17,"$1,161,843","215,555"
Shower,"Jul 7, 2000",Drama,PG-13,"$1,157,764","214,798"
Groove,"Jun 9, 2000",Comedy,R,"$1,115,313","206,922"
Catfish in Black Bean Sauce,"Jun 9, 2000",Comedy,PG-13,"$1,107,583","205,488"
Mohabbatein,"Oct 27, 2000",Musical,Not Rated,"$1,070,000","198,515"
Time Code,"Apr 28, 2000",Drama,R,"$1,057,750","196,243"
Chuck&Buck,"Jul 14, 2000",Drama,R,"$1,055,671","195,857"
What's Cooking,"Nov 17, 2000",Drama,PG-13,"$1,045,899","194,044"
Two Family House,"Oct 6, 2000",Drama,R,"$1,015,122","188,334"
La otra conquista,"May 4, 2007",Drama,R,"$886,410","164,454"
The Yards,"Oct 20, 2000",Drama,R,"$882,710","163,768"
The Best Man,"Oct 22, 1999",Romantic Comedy,R,"$809,260","150,141"
New Waterford Girl,"Jun 2, 2000",Comedy,Not Rated,"$774,469","143,686"
Alice et Martin,"Jul 21, 2000",Drama,R,"$743,115","137,869"
Place Vendome,"Aug 18, 2000",Drama,Not Rated,"$742,632","137,779"
Kadosh,"Feb 16, 2000",Drama,Not Rated,"$736,812","136,699"
I'm the One That I Want,"Aug 4, 2000",Concert/Perfor…,Not Rated,"$679,695","126,102"
Star Wars Ep. I: The Phanto…,"May 19, 1999",Adventure,PG,"$644,945","119,655"
Fiza,"Sep 8, 2000",Drama,Not Rated,"$623,791","115,731"
A Hard Day's Night,"Aug 11, 1964",Comedy,G,"$593,645","110,138"
Refugee,"Jul 14, 2000",Drama,Not Rated,"$590,000","109,461"
Yi Ge Dou Bu Neng Shao,"Feb 18, 2000",Drama,Not Rated,"$589,114","109,297"
Phir Bhi Dil Hain Hindustani,"Jan 21, 2000",Musical,Not Rated,"$588,606","109,203"
Mifune,"Feb 25, 2000",Drama,R,"$585,016","108,537"
The Opportunists,"Aug 11, 2000",Drama,R,"$581,142","107,818"
The Basket,"May 5, 2000",Drama,PG,"$576,062","106,876"
"Me, Myself & I","Apr 7, 2000",Romantic Comedy,R,"$565,193","104,859"
A Time for Drunken Horses,"Oct 27, 2000",Drama,Not Rated,"$557,926","103,511"
Love and Sex,"Aug 25, 2000",Romantic Comedy,Not Rated,"$536,287","99,496"
Dekalog,"Jun 9, 2000",Drama,Not Rated,"$488,744","90,676"
Malena,"Dec 22, 2000",Drama,R,"$472,626","87,685"
Blue Streak,"Sep 17, 1999",Action,PG-13,"$447,449","83,014"
Across The Sea of Time,"Oct 20, 1995",Adventure,G,"$424,122","78,686"
Du rififi chez les hommes,"Sep 2, 2015",Thriller/Suspense,Not Rated,"$418,016","77,553"
8 ½ Women,"May 26, 2000",Drama,R,"$417,517","77,461"
The Nightmare Before Christmas,"Oct 13, 1993",Musical,PG,"$405,275","75,190"
Yi Yi,"Oct 6, 2000",Drama,Not Rated,"$371,457","68,915"
House on Haunted Hill,"Oct 29, 1999",Horror,R,"$356,258","66,096"
Une Liaison pornographique,"Aug 4, 2000",Drama,R,"$347,808","64,528"
Under Suspicion,"Sep 22, 2000",Thriller/Suspense,R,"$332,235","61,639"
Beautiful People,"Feb 18, 2000",Comedy,R,"$261,360","48,489"
The Closer You Get,"Feb 25, 2000",Comedy,PG-13,"$221,898","41,168"
Bulandi,"Jan 7, 2000",Drama,Not Rated,"$203,548","37,764"
Chal Mere Bhai,"May 5, 2000",Romantic Comedy,Not Rated,"$199,227","36,962"
The Discreet Charm of the B…,"May 12, 2000",Comedy,PG,"$198,809","36,884"
Kikujiro,"May 26, 2000",Drama,PG-13,"$198,238","36,778"
The Big Tease,"Jan 28, 2000",Comedy,R,"$185,577","34,429"
Cleopatra's Second Husband,"Sep 29, 2000",Drama,Not Rated,"$174,098","32,300"
The Limey,"Oct 8, 1999",Drama,R,"$172,273","31,961"
La Bûche,"Nov 17, 2000",Comedy,Not Rated,"$172,205","31,948"
The Silence,"Nov 10, 1999",Drama,Not Rated,"$163,592","30,351"
Shadow of the Vampire,"Dec 29, 2000",Horror,R,"$150,171","27,861"
Tigerland,"Oct 6, 2000",Drama,R,"$139,500","25,881"
With a Friend Like Harry,"Oct 13, 2000",Thriller/Suspense,R,"$137,515","25,512"
Human Resources,"Sep 13, 2000",Comedy,Not Rated,"$124,471","23,092"
Bedrooms and Hallways,"Sep 3, 1999",Comedy,Not Rated,"$119,590","22,187"
La ciudad,"Oct 22, 1999",Drama,Not Rated,"$113,778","21,109"
Boricua's Bond,"Jun 23, 2000",Drama,R,"$103,163","19,139"
Runaway Bride,"Jul 30, 1999",Romantic Comedy,PG,"$95,162","17,655"
The King of Masks,"Apr 30, 1999",Drama,Not Rated,"$92,040","17,076"
Flawless,"Nov 24, 1999",Drama,R,"$90,767","16,839"
Panic,"Dec 1, 2000",Drama,R,"$82,395","15,286"
Adorenarin doraibu,"May 5, 2000",Comedy,Not Rated,"$77,313","14,343"
Blue Moon,"Nov 3, 2000",Comedy,PG-13,"$71,548","13,274"
Lola rennt,"Jun 18, 1999",Thriller/Suspense,R,"$70,231","13,029"
Diamonds,"Dec 10, 1999",Comedy,PG-13,"$69,002","12,801"
Rosetta,"Nov 5, 1999",Drama,R,"$64,679","11,999"
Suzhou River,"Nov 8, 2000",Drama,Not Rated,"$64,034","11,880"
Beefcake,"Oct 13, 1999",Drama,Not Rated,"$62,830","11,656"
Titanic Town,"Sep 1, 2000",Drama,Not Rated,"$60,523","11,228"
Snatch,"Dec 8, 2000",Black Comedy,R,"$60,051","11,141"
An Everlasting Piece,"Dec 22, 2000",Comedy,R,"$52,773","9,790"
à bout de souffle,"Apr 21, 2000",Drama,Not Rated,"$51,753","9,601"
Light It Up,"Nov 10, 1999",Drama,R,"$50,059","9,287"
La Bouteille,"Oct 20, 2000",Comedy,Not Rated,"$43,993","8,161"
The Gift,"Dec 19, 2000",Thriller/Suspense,R,"$43,475","8,065"
Himalaya - l'enfance d'un chef,"Nov 17, 2000",Drama,Not Rated,"$38,977","7,231"
Burlesk King,"Jun 30, 2000",Drama,Not Rated,"$35,792","6,640"
Last Night,"Oct 23, 1998",Drama,R,"$32,360","6,003"
The Boondock Saints,"Jan 21, 2000",Action,R,"$30,471","5,653"
La Grande Illusion,"Jun 4, 1937",Drama,Not Rated,"$26,929","4,996"
Stigmata,"Sep 10, 1999",Horror,R,"$26,867","4,984"
Wings of Courage,"Apr 21, 1995",Drama,G,"$24,346","4,516"
Bootmen,"Oct 6, 2000",Comedy,R,"$21,172","3,928"
Wandafuru raifu,"May 12, 1999",Drama,Not Rated,"$18,883","3,503"
Chunhyang,"Dec 29, 2000",Drama,R,"$16,187","3,003"
"2 Männer, 2 Frauen - 4 Prob…","Nov 3, 2000",Comedy,Not Rated,"$14,940","2,771"
30 Days,"Sep 15, 2000",Comedy,Not Rated,"$13,753","2,551"
The Autumn Heart,"Sep 8, 2000",Drama,Not Rated,"$13,354","2,477"
The Specials,"Sep 22, 2000",Action,R,"$12,996","2,411"
Buddy Boy,"Mar 24, 2000",Thriller/Suspense,R,"$10,281","1,907"
Anatomie,"Sep 8, 2000",Horror,Not Rated,"$9,598","1,780"
Claire Dolan,"Feb 25, 2000",Drama,Not Rated,"$9,480","1,758"
Harem Suare,"Nov 17, 2000",Drama,Not Rated,"$8,954","1,661"
Circus,"Sep 15, 2000",Thriller/Suspense,R,"$8,406","1,559"
Aïe,"Dec 1, 2000",Comedy,Not Rated,"$8,289","1,537"
Mookie,"Jul 14, 2000",Comedy,Not Rated,"$7,284","1,351"
Inséparables,"Jul 28, 2000",Romantic Comedy,Not Rated,"$5,757","1,068"
Les convoyeurs attendent,"Mar 15, 2000",Comedy,Not Rated,"$5,518","1,023"
100% Arabica,"Mar 24, 2000",Musical,Not Rated,"$5,428","1,007"
Babymother,"Mar 17, 2000",Drama,R,"$5,115",948
Pups,"Mar 31, 2000",Action,Not Rated,"$4,427",821
"Blood, Friends and Money","Sep 22, 2000",Horror,Not Rated,"$3,631",673
Edge of Seventeen,"Apr 30, 1999",Comedy,Not Rated,"$2,403",445
Chutney Popcorn,"Nov 17, 2000",Comedy,Not Rated,"$2,274",421
Steam: The Turkish Bath,"Nov 25, 1998",Drama,Not Rated,"$2,218",411
"South of Heaven, West of Hell","Dec 15, 2000",Western,R,"$2,042",378
Le Chal Apne Sang,"Mar 17, 2000",Drama,Not Rated,"$1,030",191
"Monsters, Inc.","Nov 2, 2001",Adventure,G,"$244,638,458","43,222,342"
Rush Hour 2,"Aug 3, 2001",Action,PG-13,"$226,164,286","39,958,354"
American Pie 2,"Aug 10, 2001",Comedy,R,"$145,096,820","25,635,480"
Cast Away,"Dec 22, 2000",Adventure,PG-13,"$123,942,702","21,898,003"
Spy Kids,"Mar 30, 2001",Adventure,PG,"$112,692,062","19,910,258"
The Others,"Aug 10, 2001",Horror,PG-13,"$96,522,687","17,053,478"
Legally Blonde,"Jul 13, 2001",Comedy,PG-13,"$96,493,426","17,048,308"
America's Sweethearts,"Jul 20, 2001",Romantic Comedy,PG-13,"$93,607,673","16,538,458"
Cats & Dogs,"Jul 4, 2001",Comedy,PG,"$93,375,151","16,497,376"
Save the Last Dance,"Jan 12, 2001",Drama,PG-13,"$91,038,276","16,084,501"
Training Day,"Oct 5, 2001",Thriller/Suspense,R,"$76,261,036","13,473,681"
Scary Movie 2,"Jul 4, 2001",Comedy,R,"$71,277,420","12,593,183"
The Score,"Jul 13, 2001",Thriller/Suspense,R,"$71,069,884","12,556,516"
Swordfish,"Jun 8, 2001",Action,R,"$69,772,969","12,327,379"
Shallow Hal,"Nov 9, 2001",Romantic Comedy,PG-13,"$68,817,987","12,158,654"
What Women Want,"Jan 8, 2001",Romantic Comedy,PG-13,"$67,043,240","11,845,095"
The Mexican,"Mar 2, 2001",Action,R,"$66,808,615","11,803,642"
Spy Game,"Nov 21, 2001",Action,R,"$61,453,515","10,857,511"
Miss Congeniality,"Dec 22, 2000",Comedy,PG-13,"$60,424,996","10,675,794"
The Wedding Planner,"Jan 26, 2001",Romantic Comedy,PG-13,"$60,400,856","10,671,529"
Moulin Rouge,"May 18, 2001",Musical,PG-13,"$57,065,562","10,082,254"
Rat Race,"Aug 17, 2001",Comedy,PG-13,"$56,607,223","10,001,276"
A Knight’s Tale,"May 11, 2001",Adventure,PG-13,"$56,083,966","9,908,827"
The Animal,"Jun 1, 2001",Comedy,PG-13,"$55,762,229","9,851,983"
Behind Enemy Lines,"Nov 30, 2001",Action,PG-13,"$53,707,487","9,488,955"
Serendipity,"Oct 5, 2001",Romantic Comedy,PG-13,"$50,255,310","8,879,030"
Finding Forrester,"Dec 19, 2000",Drama,PG-13,"$46,466,892","8,209,698"
Zoolander,"Sep 28, 2001",Comedy,PG-13,"$45,162,741","7,979,282"
Domestic Disturbance,"Nov 2, 2001",Thriller/Suspense,PG-13,"$44,791,627","7,913,715"
The One,"Nov 2, 2001",Action,PG-13,"$43,905,746","7,757,198"
Bandits,"Oct 12, 2001",Comedy,PG-13,"$41,434,602","7,320,601"
Heartbreakers,"Mar 23, 2001",Comedy,PG-13,"$40,334,024","7,126,152"
The Emperor's New Groove,"Dec 15, 2000",Adventure,G,"$38,484,289","6,799,344"
Evolution,"Jun 8, 2001",Comedy,PG-13,"$38,311,134","6,768,751"
Jeepers Creepers,"Aug 31, 2001",Horror,R,"$37,904,175","6,696,850"
Kiss of the Dragon,"Jul 6, 2001",Action,R,"$36,833,473","6,507,680"
Not Another Teen Movie,"Dec 14, 2001",Comedy,R,"$35,248,962","6,227,731"
See Spot Run,"Mar 2, 2001",Adventure,PG,"$33,357,476","5,893,546"
The Family Man,"Dec 22, 2000",Comedy,PG-13,"$32,619,705","5,763,198"
Driven,"Apr 27, 2001",Action,PG-13,"$32,616,869","5,762,697"
What's the Worst That Could…,"Jun 1, 2001",Comedy,PG-13,"$32,267,774","5,701,020"
Black Knight,"Nov 21, 2001",Adventure,PG-13,"$31,942,704","5,643,587"
Kate and Leopold,"Dec 25, 2001",Romantic Comedy,PG-13,"$30,588,006","5,404,241"
Snatch,"Dec 8, 2000",Black Comedy,R,"$30,033,056","5,306,193"
Baby Boy,"Jun 27, 2001",Drama,R,"$28,734,552","5,076,775"
The Brothers,"Mar 23, 2001",Comedy,R,"$27,457,409","4,851,132"
Joe Dirt,"Apr 11, 2001",Comedy,PG-13,"$27,087,695","4,785,811"
Crocodile Dundee in Los Ang…,"Apr 20, 2001",Comedy,PG,"$25,590,119","4,521,222"
15 Minutes,"Mar 9, 2001",Thriller/Suspense,R,"$24,375,436","4,306,614"
How High,"Dec 21, 2001",Comedy,R,"$24,098,250","4,257,641"
Angel Eyes,"May 18, 2001",Drama,R,"$24,044,532","4,248,150"
Corky Romano,"Oct 12, 2001",Comedy,PG-13,"$23,780,766","4,201,548"
Heist,"Nov 9, 2001",Action,R,"$23,483,357","4,149,003"
The Majestic,"Dec 21, 2001",Drama,PG,"$23,458,487","4,144,609"
Two Can Play That Game,"Sep 7, 2001",Romantic Comedy,R,"$22,235,901","3,928,604"
Joy Ride,"Oct 5, 2001",Thriller/Suspense,R,"$21,973,182","3,882,187"
The Royal Tenenbaums,"Dec 14, 2001",Black Comedy,R,"$20,697,480","3,656,798"
Joe Somebody,"Dec 21, 2001",Comedy,PG,"$19,761,472","3,491,426"
Summer Catch,"Aug 24, 2001",Romantic Comedy,PG-13,"$19,693,891","3,479,486"
Saving Silverman,"Feb 9, 2001",Comedy,R,"$19,351,569","3,419,005"
The Last Castle,"Oct 19, 2001",Thriller/Suspense,R,"$18,208,078","3,216,974"
The Glass House,"Sep 14, 2001",Thriller/Suspense,PG-13,"$17,951,431","3,171,630"
Le Fabuleux destin d'Amélie…,"Nov 2, 2001",Romantic Comedy,R,"$17,695,648","3,126,439"
Max Keeble's Big Move,"Oct 5, 2001",Comedy,PG,"$17,148,904","3,029,841"
Rock Star,"Sep 7, 2001",Drama,R,"$16,991,902","3,002,102"
crazy/beautiful,"Jun 29, 2001",Drama,PG-13,"$16,929,123","2,991,011"
Vertical Limit,"Dec 8, 2000",Thriller/Suspense,PG-13,"$16,593,246","2,931,668"
3000 Miles to Graceland,"Feb 23, 2001",Action,R,"$15,738,632","2,780,677"
Life as a House,"Oct 26, 2001",Drama,R,"$15,652,637","2,765,483"
Iron Monkey,"Oct 12, 2001",Action,PG-13,"$14,681,661","2,593,933"
Freddy Got Fingered,"Apr 20, 2001",Comedy,R,"$14,249,005","2,517,492"
Out Cold,"Nov 21, 2001",Comedy,PG-13,"$13,607,891","2,404,221"
Osmosis Jones,"Aug 10, 2001",Comedy,PG,"$13,596,911","2,402,281"
Tomcats,"Mar 30, 2001",Comedy,R,"$13,558,739","2,395,536"
Sugar and Spice,"Jan 26, 2001",Comedy,PG-13,"$13,276,953","2,345,751"
American Outlaws,"Aug 17, 2001",Western,PG-13,"$13,264,986","2,343,637"
The Gift,"Dec 19, 2000",Thriller/Suspense,R,"$11,965,167","2,113,987"
Get Over It,"Mar 9, 2001",Romantic Comedy,PG-13,"$11,560,259","2,042,448"
Dracula 2000,"Dec 22, 2000",Horror,R,"$11,430,810","2,019,577"
"Dude, Where's My Car?","Dec 15, 2000",Comedy,PG-13,"$11,097,464","1,960,682"
Antitrust,"Jan 12, 2001",Thriller/Suspense,PG-13,"$10,965,209","1,937,316"
Head Over Heels,"Feb 2, 2001",Romantic Comedy,PG-13,"$10,397,365","1,836,990"
The Wash,"Nov 14, 2001",Comedy,R,"$10,036,340","1,773,204"
John Carpenter’s Ghosts of …,"Aug 24, 2001",Action,R,"$8,434,601","1,490,212"
Shadow of the Vampire,"Dec 29, 2000",Horror,R,"$8,128,846","1,436,191"
The Curse of the Jade Scorpion,"Aug 24, 2001",Comedy,PG-13,"$7,496,522","1,324,473"
Bones,"Oct 24, 2001",Horror,R,"$7,316,658","1,292,695"
The Man Who Wasn't There,"Oct 31, 2001",Drama,R,"$6,971,906","1,231,785"
Sexy Beast,"Jun 13, 2001",Drama,R,"$6,946,056","1,227,218"
Cyberworld 3D,"Oct 6, 2000",Adventure,Not Rated,"$6,889,078","1,217,151"
The Forsaken,"Apr 27, 2001",Horror,R,"$6,755,271","1,193,510"
Town & Country,"Apr 27, 2001",Romantic Comedy,R,"$6,712,451","1,185,945"
Le Placard,"Apr 6, 2001",Comedy,R,"$6,671,454","1,178,702"
One Night at McCool's,"Apr 27, 2001",Black Comedy,R,"$6,276,532","1,108,927"
Mulholland Drive,"Oct 8, 2001",Thriller/Suspense,R,"$5,780,033","1,021,207"
Say It Isn't So,"Mar 23, 2001",Black Comedy,R,"$5,516,708","974,683"
Amores Perros,"Mar 30, 2001",Drama,R,"$5,383,834","951,207"
State and Main,"Dec 22, 2000",Comedy,R,"$5,378,327","950,234"
You Can Count on Me,"Nov 10, 2000",Drama,R,"$5,364,751","947,835"
Made,"Jul 13, 2001",Comedy,R,"$5,308,707","937,934"
Pane e tulipani,"Jul 27, 2001",Romantic Comedy,PG-13,"$5,229,957","924,020"
Bubble Boy,"Aug 24, 2001",Black Comedy,PG-13,"$5,002,310","883,800"
